agaspu,barpul,boaboa,boapel,boapic,boaros,bolsim,cralon,denebr,engpus,epiesp,esppro,hyatat,leplab,lepper,leubil,oopsyl,priach,pricha,prilatic,prilatid,prilut,prisub,priwal,rhahae,rhiala,rhihor,scisug,scitsa,smipha,trajor
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,1,0,0,1,2,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24,0,0,0,0,0,2,0,0,0,0,0,0,0
0,3,0,22,0,0,0,0,0,0,20,0,0,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
0,11,0,23,0,0,0,1,0,0,0,0,0,6,0,0,0,48,0,0,0,0,1,1,0,0,0,0,1,0,1
0,0,0,0,1,0,0,4,0,0,8,0,0,0,0,0,0,31,0,1,1,0,0,0,1,5,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,129,0,0,0,0,1,0,0,4,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,2,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,1,51,0,1,0,0,3,0,0,1,0,0,0,0,0
0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,3,22,0,0,6,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,6,0,0,1,1,1,4,41,0,2,0,0,1,0,0,0,0,0,0,1,0
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,1,1,5,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,52,0,0,3,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,32,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,5,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,4,0,5,0,0,0,0,0,1,3,0,0,8,0,0,0,65,0,0,0,0,0,0,0,0,0,0,2,0,0
1,16,0,2,0,0,0,0,0,0,5,0,0,6,0,0,0,49,0,0,0,0,0,0,0,0,0,1,8,0,2
0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33,0,0,0,0,1,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0,2,0,0,0,0,0,0,0
0,11,0,2,0,0,0,0,1,0,26,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,3
0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,34,0,0,0,0,1,0,0,1,1,0,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,23,0,0,0,0,2,0,0,2,0,0,0,0,0
0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,0,0,0,0,0,0,0,0,0,6,0,5
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,52,0,0,0,0,1,0,1,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,2,6,0,0,1,0,0,0,0,2
0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,2,1,0,1,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,2,0,1,0,0,0,0,0
