Sitio,Tipo,Start Latitude,Start Longitude,Elevation,Pair,forest_cover_400,water_dist,site_mean_CC,site_mean_hoja,site_mean_veg,n,no_species,Shannon_Index,Simpson_Index,Inv_Simpson_Index,veg_scaled,hoja_scaled,CC_scaled,forest_scaled,water_scaled,elevation_scaled
AL-N,N,0.359452,-79.670226,542,1,0.319,264,57.625,54.53125,64.53125,32,4,0.5067352576114266,0.228515625,1.2962025316455696,1.3943021938368758,-0.13441866520510978,-0.3767467596368939,-0.6739711076492096,0.6284280916623839,1.4125539365997044
AZ-C,C,0.349364,-79.651504,356,4,0.399,196,14.953125,11.25,6.875,22,4,0.6631794532105497,0.318181818181818,1.4666666666666663,-1.474664076505648,-1.8133327689130292,-2.256952160648099,-0.3160855993351713,0,-1.0265296232034407
AZ-N,N,0.349292,-79.6557,351,4,0.351,174,82.625,72.1875,15,27,3,0.4195558923202333,0.20301783264746232,1.2547332185886404,-1.0703653067012815,0.5504813121197815,0.7248016261624205,-0.5308169043235944,-0.20331497083194774,-1.0920963855637402
DB-C,C,0.390173,-79.642451,365,15,0.229,174,39.296875,67.23958333333334,8.854166666666666,60,5,1.3986946568494105,0.7194444444444444,3.5643564356435644,-1.3761810428353538,0.3585476901555793,-1.1843194199760163,-1.0765923045025028,-0.20331497083194774,-0.9085094509549013
DB-N,N,0.389123,-79.64104,377,15,0.364,210,67.09375,70,28.125,93,9,1.3598960490016474,0.653717192739045,2.887813021702839,-0.4172672939403818,0.4656264476724498,0.04046469148459644,-0.47266050922256314,0.12938225416578492,-0.7511492212901822
DG-B,B,0.350291,-79.68073,535,6,0.716,178,93.609375,78.90625,57.65625,52,8,1.3227532824443449,0.6042899408284024,2.5271028037383174,1.0522032347716426,0.8111069672080145,1.2087944481729944,1.1020357273592052,-0.16634861249886634,1.320760469295285
DG-C,C,0.349666,-79.678664,559,6,0.562,159,61.078125,22.34375,46.71875,135,4,0.22037864801520524,0.08592592592592585,1.0940032414910859,0.5079548908042262,-1.382997384930133,-0.22459538884836358,0.41310612385468193,-0.341938814581003,1.635480928624723
DG-N,N,0.354263,-79.689148,504,6,0.598,13,82.515625,82.34375,15.78125,100,3,0.15383759322861115,0.058600000000000096,1.0622477161674104,-1.0314904249893233,0.9444503256252499,0.7199823519745485,0.5741546025959988,-1.6912108937384744,0.9142465426614275
DG-V,V,0.354227,-79.689364,546,5,0.502,353,86.4375,82.34375,41.25,66,8,0.895104512051696,0.38842975206611574,1.6351351351351353,0.23583071882051793,0.9444503256252499,0.892787754996816,0.14469199261915297,1.4509295645734452,1.465007346487944
FCAT-B1,B,0.368559,-79.667044,470,13,0.973,129,92.84375,76.5625,42.34375,37,7,1.31843368622543,0.6062819576333089,2.539888682745825,0.29025555321725954,0.7201910410144449,1.1750595288578902,2.2517429228180537,-0.6191865020791136,0.46839255861139023
FCAT-B2,B,0.374692,-79.667322,500,9,0.866,122,88.421875,83.28125,60.46875,59,10,1.1972241666880175,0.49928181557023843,1.9971313826735513,1.1921528089346924,0.9808166961026777,0.9802231581196366,1.7730710554480271,-0.683877629162006,0.8617931327731878
FCAT-B3,B,0.374552,-79.640126,420,12,0.866,334,92.1875,85.15789473684212,60.63157894736841,61,5,0.6814719415822068,0.3165815640956732,1.4632324026740071,1.2002551527020264,1.0536132377074947,1.1461438837306583,1.7730710554480271,1.2753393624913085,-0.18727506499160573
FCAT-V1,V,0.369238,-79.667871,489,13,0.998,66,92.015625,86.875,58.4375,68,7,0.8586910665251579,0.3948961937716263,1.6526090064331667,1.091078116483601,1.1202211162661513,1.138570738578288,2.36358214416619,-1.2014066458251458,0.7175462555805288
FCAT-V2,V,0.385763,-79.667222,490,9,0.849,101,88.609375,93.4375,55.15625,37,4,0.5244480273578574,0.24397370343316283,1.3227053140096616,0.927803613293376,1.3747857096081462,0.9884847710131314,1.697020384931294,-0.8779510104106835,0.7306596080525887
FLL-B,B,0.390979,-79.64776,350,14,0.322,60,86.453125,85.15625,51.09375,28,4,1.0765200125546563,0.5943877551020409,2.465408805031447,0.7256542283911928,1.0535494370575336,0.8934762227379406,-0.6605504010874331,-1.2568561833247678,-1.1052097380358001
FLL-C,C,0.39163,-79.648147,360,14,0.356,115,74.71875,53.75,29.53125,88,7,0.9972776882233271,0.43904958677685957,1.7826887661141806,-0.3472925068588568,-0.16472397393629964,0.3764369491533873,-0.508449060053967,-0.7485687562448985,-0.9740762133152009
FLL-V,V,0.390264,-79.648749,356,14,0.461,275,91.734375,85.9375,40.625,90,9,1.4635154303694373,0.6553086419753087,2.9011461318051577,0.20473081345095126,1.0838547457887233,1.1261783192380457,-0.03872433039179157,0.7300855770783579,-1.0265296232034407
GP-C,C,0.374389,-79.639749,338,11,0.42,340,50.690625,25.9375,58.90625,40,5,0.665631279792101,0.3075000000000001,1.4440433212996393,1.1144030455107758,-1.2435929647666593,-0.6822887431479788,-0.22214065340273637,1.3307888999909308,-1.262569967700519
GP-N,N,0.374561,-79.639866,355,11,0.4,346,67.140625,59.84375,56.40625,39,5,0.5537526154099188,0.23537146614069682,1.3078245915735167,0.9900034240325093,0.0716574341669814,0.04253009470797015,-0.31161203048124575,1.3862384374905528,-1.0396429756755006
JS-N,N,0.389993,-79.64865,342,14,0.325,125,83.078125,80.9375,6.25,58,8,1.5263970902870965,0.7146254458977408,3.504166666666666,-1.5057639818752147,0.8899007699091082,0.744767190655033,-0.6471296945256567,-0.656152860412195,-1.2101165578122794
JZ-C,C,0.381566,-79.669405,513,8,0.533,57,45.703125,11.822916666666668,30.677083333333343,42,7,0.8045245063082775,0.33673469387755106,1.5076923076923079,-0.2902760136813175,-1.7911088758434899,-0.9020476461149419,0.28337262709084293,-1.284580952074579,1.0322667149099667
JZ-N,N,0.385826,-79.666593,515,8,0.556,68,72.328125,49.583333333333336,68.38541666666666,30,5,0.8586890466711515,0.3977777777777777,1.6605166051660514,1.5860849436158697,-0.32635228716931225,0.2711013847613279,0.386264710731129,-1.182923466658605,1.0584934198540865
JZJ-C,C,0.359488,-79.670253,520,1,0.333,278,24.828125,20.78125,40.46875,79,4,0.2960724883769849,0.12081397211985256,1.1374157098596682,0.1969558371085596,-1.4436080023925126,-1.8218405482573694,-0.6113411436942529,0.7578103458281689,1.1240601822143863
LG-C,C,0.348921,-79.654846,410,3,0.392,405,39.703125,42.1875,47.5,50,7,1.0076716894169464,0.4384000000000001,1.780626780626781,0.5468297725161845,-0.6132425431579098,-1.1664192587067774,-0.3474005813126496,1.9314922229035036,-0.3184085897122049
LG-N,N,0.351255,-79.656194,416,3,0.322,317,51.84375,36.875,50.78125,71,6,0.9365574882891923,0.42650267804007136,1.7436873054306468,0.7101042757064094,-0.8193186425300011,-0.6314798238529854,-0.6605504010874331,1.1182323395757126,-0.2397284748798454
LL-C,C,0.349359,-79.681243,482,7,0.233,268,41.484375,43.75,9.84375,40,3,0.3141230258900314,0.14125,1.1644832605531295,-1.3269395260002064,-0.5526319256955301,-1.0879339362185763,-1.0586980290868007,0.6653944499954654,0.6257527882761093
LL-N,N,0.38588,-79.667006,504,7,0.231,298,58.59375,37.86458333333333,26.458333333333336,59,2,0.20100301090279254,0.09652398735995393,1.1068362480127185,-0.5002003749258928,-0.7809319181371607,-0.33406175968717045,-1.0676451667946516,0.942642137493576,0.9142465426614275
PM-C,C,0.351671,-79.65685,428,2,0.306,254,41.859375,30,4.84375,67,7,0.8988742459352457,0.38672310091334383,1.6305848165637489,-1.5757387689567397,-1.086005359364472,-1.0714107104315866,-0.7321275027502409,0.5360121958296804,-0.08236824521512637
PM-N,N,0.351454,-79.656724,449,2,0.298,289,61.0625,47.1875,9.84375,55,5,0.7341061046868054,0.34512396694214853,1.5270065623422509,-1.3269395260002064,-0.4192885672782946,-0.22528385658948816,-0.7679160535816447,0.8594678312441427,0.19301215669813193
PV-N,N,0.36254,-79.637801,347,10,0.323,122,70.546875,77.1875,18.80208333333334,77,6,0.527467814612454,0.21622533310844994,1.2758769098343017,-0.8811742157030841,0.7444352879993967,0.19261606227312675,-0.6560768322335077,-0.683877629162006,-1.1445497954519799
VC-C,C,0.36406,-79.637774,375,10,0.317,150,29.96875,19.53125,22.03125,6,3,0.8675632284814612,0.5,2,-0.7204913712936567,-1.4920964963624164,-1.5953346614273856,-0.6829182453570606,-0.4251131208304362,-0.7773759262343021
VC-N,N,0.364114,-79.637244,333,10,0.309,32,86.5625,81.09375,34.0625,72,4,0.27232142022306716,0.10686728395061729,1.1196544276457883,-0.1218181929294986,0.8959618316553462,0.8982954969258126,-0.7187067961884644,-1.5156206916563377,-1.3281367300608187
