"Response","Distribution","(Intercept)","CC_scaled","elevation_scaled","forest_scaled","veg_scaled","water_scaled","df","logLik","AICc","delta","weight"
"Abundance","Negative binomial",4.06642210160248,NA,NA,NA,NA,NA,2,-109.550177742004,223.700355484008,0,0.257320636119468
"Abundance","Negative binomial",4.13992399722547,0.21288762428927,NA,NA,NA,NA,3,-108.27174915176,223.806656198257,0.106300714248903,0.244001058039248
"Abundance","Negative binomial",4.1683397221351,0.256164630313607,0.158568346302315,NA,NA,NA,4,-107.13762734134,224.497476904902,0.797121420894513,0.172735618390648
"Abundance","Negative binomial",4.16352860911083,NA,NA,0.228240633947457,NA,NA,3,-109.036427898365,225.336013691467,1.63565820745913,0.113578453102707
"Abundance","Negative binomial",4.07561388923384,NA,0.107420396015998,NA,NA,NA,3,-109.053378966442,225.36991582762,1.66956034361252,0.111669402943504
"Abundance","Negative binomial",4.06748630406152,NA,NA,NA,NA,-0.099054655054251,3,-109.156827241532,225.576812377801,1.87645689379298,0.100694831404425
"Richness","Poisson",1.61809597517843,NA,NA,NA,NA,NA,1,-46.6543580536738,95.4991922978237,0,0.623409051112097
"Richness","Poisson",1.59594501378843,NA,-0.113426209207187,NA,NA,NA,2,-45.9536394529082,96.5072789058165,1.00808660799274,0.376590948887903
"Simpson Index","Beta regression",-0.789392193934329,NA,-0.373746051189992,NA,NA,NA,3,10.3471146927649,-13.4310714907929,0,0.679598006576753
"Simpson Index","Beta regression",-0.89011517186751,-0.212720404006089,-0.411672867455852,NA,NA,NA,4,11.0747218367897,-11.9272214513571,1.50385003943573,0.320401993423247
